Notes,County,County Code,Race,Race Code,Year,Year Code,Age of Mother Year,Age of Mother Year Code,Births
,"Benton County, WA",53005,Asian or Pacific Islander,A-PI,2011,2011,28 years,28,10
,"Benton County, WA",53005,Asian or Pacific Islander,A-PI,2011,2011,31 years,31,12
,"Benton County, WA",53005,Asian or Pacific Islander,A-PI,2011,2011,34 years,34,10
,"Benton County, WA",53005,Asian or Pacific Islander,A-PI,2012,2012,31 years,31,10
,"Benton County, WA",53005,Asian or Pacific Islander,A-PI,2013,2013,32 years,32,11
,"Benton County, WA",53005,Asian or Pacific Islander,A-PI,2014,2014,29 years,29,10
,"Benton County, WA",53005,Asian or Pacific Islander,A-PI,2014,2014,31 years,31,10
,"Benton County, WA",53005,Asian or Pacific Islander,A-PI,2015,2015,29 years,29,14
,"Benton County, WA",53005,Asian or Pacific Islander,A-PI,2015,2015,30 years,30,11
,"Benton County, WA",53005,Asian or Pacific Islander,A-PI,2015,2015,32 years,32,17
,"Benton County, WA",53005,White,2106-3,2011,2011,16 years,16,11
,"Benton County, WA",53005,White,2106-3,2011,2011,17 years,17,38
,"Benton County, WA",53005,White,2106-3,2011,2011,18 years,18,45
,"Benton County, WA",53005,White,2106-3,2011,2011,19 years,19,78
,"Benton County, WA",53005,White,2106-3,2011,2011,20 years,20,117
,"Benton County, WA",53005,White,2106-3,2011,2011,21 years,21,115
,"Benton County, WA",53005,White,2106-3,2011,2011,22 years,22,119
,"Benton County, WA",53005,White,2106-3,2011,2011,23 years,23,132
,"Benton County, WA",53005,White,2106-3,2011,2011,24 years,24,143
,"Benton County, WA",53005,White,2106-3,2011,2011,25 years,25,143
,"Benton County, WA",53005,White,2106-3,2011,2011,26 years,26,161
,"Benton County, WA",53005,White,2106-3,2011,2011,27 years,27,145
,"Benton County, WA",53005,White,2106-3,2011,2011,28 years,28,145
,"Benton County, WA",53005,White,2106-3,2011,2011,29 years,29,158
,"Benton County, WA",53005,White,2106-3,2011,2011,30 years,30,134
,"Benton County, WA",53005,White,2106-3,2011,2011,31 years,31,131
,"Benton County, WA",53005,White,2106-3,2011,2011,32 years,32,128
,"Benton County, WA",53005,White,2106-3,2011,2011,33 years,33,95
,"Benton County, WA",53005,White,2106-3,2011,2011,34 years,34,87
,"Benton County, WA",53005,White,2106-3,2011,2011,35 years,35,55
,"Benton County, WA",53005,White,2106-3,2011,2011,36 years,36,50
,"Benton County, WA",53005,White,2106-3,2011,2011,37 years,37,36
,"Benton County, WA",53005,White,2106-3,2011,2011,38 years,38,21
,"Benton County, WA",53005,White,2106-3,2011,2011,39 years,39,26
,"Benton County, WA",53005,White,2106-3,2011,2011,40 years,40,17
,"Benton County, WA",53005,White,2106-3,2011,2011,41 years,41,12
